period,region,qty_bills,total_bills,qty_pays,total_pays,qty_pay_adjust,qty_sb,sb_total,qty_incs,total_incs,qty_pfs,total_pfs,pays_vs_bills,%_real_apparent_delinquency,bills_vs_qty_sbs,cost_per_prop,total_inc_per_prop,qty_pf_per_prop,totla_pf_per_prop
2022-08-01,Región Metropolitana,279720.0,60523578404,259632,28759355559,28726,68754,28742595060,99,242884186,115745,1513758618,0.8254897754897755,47.51760605929291,0.2457957957957958,102754.88009438009,0.8450322091411047,0.4137887887887888,5411.692471042471
2022-08-01,Región de Antofagasta,3367.0,685225483,2988,254283056,315,450,215710311,0,0,449,13116723,0.7938817938817939,37.10939862988137,0.13365013365013365,64066.02643302643,0.0,0.13335313335313334,3895.6706266706265
2022-08-01,Región de Arica y Parinacota,600.0,70713487,578,44807539,38,133,36068237,0,0,141,3914372,0.9,63.3649122691404,0.22166666666666668,60113.72833333333,0.0,0.235,6523.953333333333
2022-08-01,Región de Atacama,0.0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2022-08-01,Región de Coquimbo,3327.0,560230449,2594,171079763,357,593,172835718,3,236800,630,5491881,0.6723775172828373,30.53739105137429,0.1782386534415389,51949.41929666366,0.1370087171449133,0.18935978358881875,1650.7006311992786
2022-08-01,Región de Tarapacá,3285.0,469363594,3058,260065213,307,650,247469808,0,0,737,5974236,0.8374429223744292,55.40804960684701,0.197869101978691,75333.27488584474,0.0,0.2243531202435312,1818.641095890411
2022-08-01,Región de Valparaíso,10768.0,1401248999,10205,721266424,1448,2294,687596933,1,1427676,4360,30632852,0.8132429420505201,51.47310895599077,0.21303863298662704,63855.58441679049,0.2076326887862951,0.4049034175334324,2844.804234769688
2022-08-01,Región de la Araucanía,1062.0,237028262,904,84283468,137,216,84834513,0,0,475,10407358,0.7222222222222222,35.558404423519754,0.2033898305084746,79881.83898305085,0.0,0.4472693032015066,9799.772128060264
2022-08-01,Región de los Lagos,1425.0,153846124,1207,93044816,76,276,86787037,0,0,364,2212522,0.7936842105263158,60.47914213295358,0.1936842105263158,60903.18385964912,0.0,0.2554385964912281,1552.6470175438596
2022-08-01,Región de los Ríos,91.0,7060985,72,4416454,0,29,4896101,0,0,0,0,0.7912087912087912,62.54727916855792,0.31868131868131866,53803.307692307695,0.0,0.0,0.0
